464,广东中旗新材料股份有限公司,广东,佛山市,5.42亿,7926.41万,969,2021-08-23,--,--,人造石英石板材、人造石英石台面,专业从事人造石英石装饰材料的研发、生产、销售和服务。
465,中铁特货物流股份有限公司,北京,北京市,60.92亿,3.94亿,3386,2021-09-08,--,--,商品汽车物流、冷链物流、大件货物物流,从事商品汽车物流、冷链物流和大件货物物流业务。
466,郑州千味央厨食品股份有限公司,河南,郑州市,5.93亿,4655.91万,2074,2021-09-06,--,--,定制化和标准化的速冻面米制品,面向餐饮企业的速冻面米制品的研发、生产和销售。
467,湖南华联瓷业股份有限公司,湖南,株洲市,7.28亿,6086.39万,4591,2021-10-19,--,--,日用陶瓷、工业陶瓷,陶瓷制品的研发、设计、生产和销售。
468,安徽华尔泰化工股份有限公司,安徽,池州市,11.23亿,1.17亿,907,2021-09-29,--,--,基础化工产品、精细化工产品,化工产品的研发、生产与销售。
469,湖南丽臣实业股份有限公司,湖南,长沙市,18.05亿,5176.06万,717,2021-10-15,--,--,表面活性剂、洗涤,表面活性剂和洗涤用品的研发、生产、销售。
470,青岛食品股份有限公司,山东,青岛市,4.44亿,4771.32万,614,2021-10-21,--,--,钙奶饼干、休闲饼干、花生酱,饼干与花生酱等休闲食品的研发、生产及销售。
471,兰州银行股份有限公司,--,--,65.77亿,23.78亿,4032,2022-01-17,--,--,公司银行业务、个人银行业务、资金业务,公司银行业务、零售银行业务和资金业务等。
472,江苏泰慕士针纺科技股份有限公司,--,--,6.51亿,6994.55万,2181,2022-01-11,--,--,针织服装、针织面料,针织面料与针织服装的研发、生产和销售。
473,上海宏英智能科技股份有限公司,--,--,--,--,408,--,--,--,智能电控产品、智能电控总成,智能电控产品及智能电控总成的研发、生产、销售。
474,汇绿生态科技集团股份有限公司,--,--,9.27亿,1.23亿,403,2021-11-17,--,--,林工程施工、园林景观设计、苗木种植,园林工程施工、园林景观设计及苗木种植等，能够完整的提供从苗木种植、园林工程设计、施工及后续绿化养护等全产业链服务。
475,四川省自贡运输机械集团股份有限公司,--,--,6.26亿,7202.00万,775,2021-11-01,--,--,通用带式输送机、管状带式输送机、水平转弯带式输送机,从事以带式输送机为主的节能环保型输送机械成套设备的研发、设计、生产和销售。
476,龙源电力集团股份有限公司,--,--,245.90亿,45.79亿,8013,2022-01-24,--,--,电力,在中国风资源丰富的地区设计、开发、建设、管理及运营风电场，并向各地方电网公司销售电力。
477,重庆长江造型材料(集团)股份有限公司,--,--,--,--,846,2021-12-24,--,--,柴油机系列、覆膜砂系列,"铸造用硅砂,覆膜砂和砂芯的研发,生产和销售；铸造废(旧)砂再生技术和设备的研发,生产；压裂支撑剂的研发,生产和销售。"
478,广东粤海饲料集团股份有限公司,--,--,45.77亿,2.47亿,3433,--,--,--,特种水产配合饲料、普通水产配合饲料,特种水产配合饲料研发、生产及销售
479,三羊马(重庆)物流股份有限公司,--,--,7.85亿,9364.55万,807,2021-11-30,--,--,汽车整车综合物流服务、非汽车商品综合物流服务、仓储服务,从事汽车整车综合运输服务业务、非汽车商品综合运输服务业务、仓储服务。
480,重庆宗申动力机械股份有限公司,重庆,重庆市,51.97亿,3.37亿,7754,1997-03-06,--,汽车零部件,发动机、通机、产品零部件,从事小型热动力机械产品及部分终端产品的研发、制造、销售。
341,长城国际动漫游戏股份有限公司,四川,成都市,2.91亿,1.28亿,51,1999-06-25,--,游戏,游戏产品、动漫产品、旅游产品,动漫设计、制作及发行、游戏开发及运营、创意旅游和衍生品销售。
